Restaurant	Address
Daddy's Bar & Pizza Vuosaari	Bertha Pauligin katu 2, 00990 Helsinki
Himalayan Herkut	Lampputie 1, 00740 Helsinki
Ravintola Makasiini - Grand Marina	Katajanokanlaituri 7, 00160 Helsinki
Lie Mi Lunch Kitchen	Porkkalankatu 22, 00180 Helsinki
Krung Thep Thai Bistro Kalasatama	Capellastranden 4, 00580 Helsinki
Ravintola Lia	Erottajankatu 2, 00120 Helsinki
Miljöö Bistro & Bar	Runeberginkatu 40, 00260 Helsinki
Amex Exclusive: Pastis	Pieni Roobertinkatu 2, 00130 Helsinki
Ravintola Oda	Laajalahdentie 17, 00330 Helsinki
Trattoria Sogno	Runeberginkatu 60, 00260 Helsinki
m/s Helsinki – Royal Line	Eteläranta, Kauppatori, 00170 Helsinki
Amex Exclusive: Ravintola Muru	Fredrikinkatu 41, 00120 Helsinki
Ravintola Wanha Mylly	Linnanrakentajantie 12, 00810 Helsinki
Pjazza	Yrjönkatu 18 B, 00120 Helsinki
m/s Natalia – Royal Line	Eteläranta, Kauppatori, 00170 Helsinki
Ravintola Willihanhi	Puustellinpolku 8, 00410 Helsinki
Pyöreä Sali - Hilton Kalastajatorppa	Kalastajatorpantie 1, 00330 Helsinki
Ravintola Kokki	Prinsessantie 2, 00820 Helsinki
Monkey Rooftop Bar / Scandic Simonkenttä	Simonkatu 9, 00100 Helsinki
Wave Of Flavors	Sturenkatu 28, 00510 Helsinki
Villa Willinge	Villinginsalmenpolku 1, 00850 Helsinki
Ravintola Kuunari Kathrina	Eteläranta Kauppatori Kolera-allas, 00170 Helsinki
Ravintola Töölö Juhlasali	Runeberginkatu 14-16, 00100 Helsinki
Helka	Pohjoinen Rautatiekatu 23, 00100 Helsinki
Bistro Telakka	Vattuniemenranta 5, 00210 Helsinki
Royal Caviar Breakfast – Finlandia Caviar	Eteläesplanadi 2, 00130 Helsinki
Black Sea Kitchen	Eteläinen Makasiinikatu 4, 00130 Helsinki
Mad Finn Brewing Co. Taproom Helsinki	Sompasaarenlaituri 12, 00540 Helsinki
Kahvila Mutteri	Lauttasaarentie 2, 00200 Helsinki
Merisali - Hilton Kalastajatorppa	Kalastajatorpantie 1, 00330 Helsinki
m/s King – Royal Line	Hiekkalaiturintie 2, 00980 Helsinki
